name,group,category,kind,path,aig_path,circuit_size,alignment_score,standard_miter_size,aligned_miter_size,verify_status,verify_time,abc_returncode
adder,smoke,epfl,aiger,data/raw/benchmarks/prepared/adder.aag,data/raw/benchmarks/prepared/adder.aag,256,1.0,130,130,unknown,0.020922183990478516,0
bar,smoke,epfl,aiger,data/raw/benchmarks/prepared/bar.aag,data/raw/benchmarks/prepared/bar.aag,135,1.0,129,129,unknown,0.021332979202270508,0
div,alignment,epfl,aiger,data/raw/benchmarks/prepared/div.aag,data/raw/benchmarks/prepared/div.aag,128,1.0,129,129,unknown,0.02196669578552246,0
hyp,alignment,epfl,aiger,data/raw/benchmarks/prepared/hyp.aag,data/raw/benchmarks/prepared/hyp.aag,256,1.0,129,129,unknown,0.020618677139282227,0
log2,alignment,epfl,aiger,data/raw/benchmarks/prepared/log2.aag,data/raw/benchmarks/prepared/log2.aag,32,1.0,33,33,unknown,0.020601511001586914,0
max,alignment,epfl,aiger,data/raw/benchmarks/prepared/max.aag,data/raw/benchmarks/prepared/max.aag,512,1.0,131,131,unknown,0.02051067352294922,0
multiplier,main,epfl,aiger,data/raw/benchmarks/prepared/multiplier.aag,data/raw/benchmarks/prepared/multiplier.aag,128,1.0,129,129,unknown,0.019566774368286133,0
sin,smoke,epfl,aiger,data/raw/benchmarks/prepared/sin.aag,data/raw/benchmarks/prepared/sin.aag,24,1.0,26,26,unknown,0.021216154098510742,0
sqrt,main,epfl,aiger,data/raw/benchmarks/prepared/sqrt.aag,data/raw/benchmarks/prepared/sqrt.aag,128,1.0,65,65,unknown,0.020742416381835938,0
square,main,epfl,aiger,data/raw/benchmarks/prepared/square.aag,data/raw/benchmarks/prepared/square.aag,64,1.0,129,129,unknown,0.01967167854309082,0
